"filename", "language", "JSON5", "ArkTS", "TypeScript", "JSON", "XML", "comment", "blank", "total"
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\base\profile\main_pages.json", "JSON", 0, 0, 0, 24, 0, 0, 1, 25
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\main\resources\dark\element\color.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 8
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\mock\mock-config.json5", "JSON5", 2, 0, 0, 0, 0, 0, 0, 2
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\ohosTest\ets\test\Ability.test.ets", "ArkTS", 0, 21, 0, 0, 0, 13, 1, 35
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\ohosTest\ets\test\List.test.ets", "ArkTS", 0, 4, 0, 0, 0, 0, 1, 5
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\ohosTest\module.json5", "JSON5", 11, 0, 0, 0, 0, 0, 1, 12
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\test\List.test.ets", "ArkTS", 0, 4, 0, 0, 0, 0, 1, 5
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\entry\src\test\LocalUnit.test.ets", "ArkTS", 0, 19, 0, 0, 0, 13, 1, 33
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\hvigor\hvigor-config.json5", "JSON5", 23, 0, 0, 0, 0, 0, 1, 24
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\hvigorfile.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 1, 6
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\oh-package-lock.json5", "JSON5", 28, 0, 0, 0, 0, 0, 0, 28
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_arkts\oh-package.json5", "JSON5", 10, 0, 0, 0, 0, 0, 1, 11
"Total", "-", 256, 7083, 10, 89, 15, 43, 712, 8208
